"Device/browser","Version","Main Url","Description","Result time"
"chrome","New version","https://bvcm2.nextmp.net/","Open about page","5.034 sec"
"firefox","New version","https://bvcm2.nextmp.net/","Open about page","7.467 sec"
"IE","New version","https://bvcm2.nextmp.net/","Open about page","10.707 sec"
"safari","New version","https://bvcm2.nextmp.net/","Open about page","3.048 sec"
"chrome","New version","https://bvcm2.nextmp.net/","Open product details page","3.859 sec"
"firefox","New version","https://bvcm2.nextmp.net/","Open product details page","4.413 sec"
"IE","New version","https://bvcm2.nextmp.net/","Open product details page","7.475 sec"
"safari","New version","https://bvcm2.nextmp.net/","Open product details page","2.285 sec"
"chrome","New version","https://bvcm2.nextmp.net/","Open main page","0.387 sec"
"firefox","New version","https://bvcm2.nextmp.net/","Open main page","0.125 sec"
"IE","New version","https://bvcm2.nextmp.net/","Open main page","1.657 sec"
"safari","New version","https://bvcm2.nextmp.net/","Open main page","0.157 sec"
"iPhone","New version","https://bvcm2.nextmp.net/","Open about page","3.966 sec"
"iPhone","New version","https://bvcm2.nextmp.net/","Open product details page","7.021 sec"
"iPhone","New version","https://bvcm2.nextmp.net/","Open main page","0.188 sec"
"chrome","Old version","https://www.bestvaluecopy.com/","Open about page","6.602 sec"
"firefox","Old version","https://www.bestvaluecopy.com/","Open about page","4.16 sec"
"IE","Old version","https://www.bestvaluecopy.com/","Open about page","8.562 sec"
"safari","Old version","https://www.bestvaluecopy.com/","Open about page","1.996 sec"
"chrome","Old version","https://www.bestvaluecopy.com/","Open product details page","3.446 sec"
"firefox","Old version","https://www.bestvaluecopy.com/","Open product details page","2.93 sec"
"IE","Old version","https://www.bestvaluecopy.com/","Open product details page","5.2 sec"
"safari","Old version","https://www.bestvaluecopy.com/","Open product details page","2.122 sec"
"chrome","Old version","https://www.bestvaluecopy.com/","Open main page","0.312 sec"
"firefox","Old version","https://www.bestvaluecopy.com/","Open main page","0.125 sec"
"IE","Old version","https://www.bestvaluecopy.com/","Open main page","0.297 sec"
"safari","Old version","https://www.bestvaluecopy.com/","Open main page","0.433 sec"
"android","Old version","https://www.bestvaluecopy.com/","Open about page","5.516 sec"
"iPhone","Old version","https://www.bestvaluecopy.com/","Open about page","4.621 sec"
"android","Old version","https://www.bestvaluecopy.com/","Open product details page","4.888 sec"
"iPhone","Old version","https://www.bestvaluecopy.com/","Open product details page","4.408 sec"
"android","Old version","https://www.bestvaluecopy.com/","Open main page","0.289 sec"
"iPhone","Old version","https://www.bestvaluecopy.com/","Open main page","0.228 sec"
